"Timestamp","Current educational level","Role in academia","What field of academia are you a part of? (If applicable, please select more than one)","Age group","Gender identity","Do you use ChatGPT?","If applicable, what is your primary use of ChatGPT? (If you have not used ChatGPT, skip this question)","What are some of your concerns regarding the use of ChatGPT? (You may select more than one)","How accurate do you think the information that ChatGPT provides is?","Do you believe the use of ChatGPT in academia is plagiarism?","Which of the following activities involving ChatGPT should be considered as plagiarism (and banned)?","What will be the effect of ChatGPT on education?","Do you believe ChatGPT will replace other technologies such as Google, etc…"
"2023/02/25 10:37:16 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","Yes, often (>10 hrs per week)","Homework-related use (problems, questions, exercises, etc)","The reliability of the information that ChatGPT provides","Mostly accurate","Yes, in some cases","Using it for the purpose of writing essays","Promote education","No, it will not happen"
"2023/02/25 10:39:32 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","No, never (0 hrs per week)","I am NOT use! ","Contributes to plagiarism;The security of ChatGPT","Sometimes accurate","Yes, in some cases","All of the above","I’m not sure","No, it will not happen"
"2023/02/25 10:39:36 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","Yes, rarely (<3 hrs per week)","Project-related use (essays, presentations, assignments, etc)","The reliability of the information that ChatGPT provides","Sometimes accurate","Yes, in all cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it","I’m not sure","No, it will not happen"
"2023/02/25 10:40:24 PM AST","Undergraduate","TA","Business","18-24","Male","Yes, rarely (<3 hrs per week)","Creativity-related use (brainstorming, art, fiction, etc)","The security of ChatGPT","Sometimes accurate","I’m not sure","Generating answers for course homework or test with it","Neither","Yes, in the distant future (>10 years)"
"2023/02/25 10:40:56 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","Yes, rarely (<3 hrs per week)","Homework-related use (problems, questions, exercises, etc)","ChatGPT’s access to the user’s data and privacy;The reliability of the information that ChatGPT provides","Mostly accurate","Yes, in some cases","Using it for the purpose of writing essays;Asking it to provide information needed for coursework;Generating answers for course homework or test with it","Neither","Yes, in the distant future (>10 years)"
"2023/02/25 10:43:35 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","Yes, sometimes (3-10 hrs per week)","Homework-related use (problems, questions, exercises, etc)","Contributes to plagiarism","Mostly accurate","Yes, in some cases","Using it for the purpose of writing essays","Inhibit education","No, it will not happen"
"2023/02/25 10:44:40 PM AST","Undergraduate","Student","Liberal Arts/Studies/Education","18-24","Male","Yes, rarely (<3 hrs per week)","Creativity-related use (brainstorming, art, fiction, etc)","The reliability of the information that ChatGPT provides","Mostly accurate","Yes, in some cases","None of the above","Promote education","No, it will not happen"
"2023/02/25 10:46:15 PM AST","College Diploma","Student","Creative Studies and/or Media Studies","18-24","Female","No, never (0 hrs per week)","No","Contributes to plagiarism","Sometimes accurate","I’m not sure","None of the above","I’m not sure","I’m not sure"
"2023/02/25 10:47:04 PM AST","Undergraduate","Student","Business","18-24","Male","Yes, sometimes (3-10 hrs per week)","Project-related use (essays, presentations, assignments, etc)","It could turn traditional education to redundancy","Mostly accurate","I’m not sure","Using it for the purpose of writing essays;Using it for research-related purposes","Promote education","Yes, in the distant future (>10 years)"
"2023/02/25 10:54:52 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","No, never (0 hrs per week)","no","Contributes to plagiarism;ChatGPT’s access to the user’s data and privacy;The security of ChatGPT;The reliability of the information that ChatGPT provides","Sometimes accurate","Yes, in some cases","Using it for the purpose of writing essays","Inhibit education","I’m not sure"
"2023/02/25 11:07:21 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","Yes, sometimes (3-10 hrs per week)","Homework-related use (problems, questions, exercises, etc)","Contributes to plagiarism","Mostly accurate","Yes, in some cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it","Promote education","Yes, in the distant future (>10 years)"
"2023/02/25 11:31:59 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","Yes, rarely (<3 hrs per week)","Creativity-related use (brainstorming, art, fiction, etc)","None.","Mostly accurate","No","None of the above","Promote education","No, it will not happen"
"2023/02/25 11:39:48 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","Yes, rarely (<3 hrs per week)","Project-related use (essays, presentations, assignments, etc)","Contributes to plagiarism;ChatGPT’s access to the user’s data and privacy","Sometimes accurate","Yes, in some cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it","Neither","I’m not sure"
"2023/02/26 2:19:05 AM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","No, never (0 hrs per week)","N/A","Contributes to plagiarism;The reliability of the information that ChatGPT provides","Sometimes accurate","Yes, in some cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it","I’m not sure","I’m not sure"
"2023/02/26 2:21:44 AM AST","Undergraduate","Student","Business","18-24","Female","No, never (0 hrs per week)","I don’t use chat gpt","Contributes to plagiarism","Rarely accurate","I’m not sure","Generating answers for course homework or test with it","I’m not sure","I’m not sure"
"2023/02/26 2:23:04 AM AST","Undergraduate","Student","Law;STEM","18-24","Female","No, never (0 hrs per week)","no use ","The reliability of the information that ChatGPT provides","Sometimes accurate","I’m not sure","Generating answers for course homework or test with it","I’m not sure","Yes, in the distant future (>10 years)"
"2023/02/26 2:24:11 AM AST","Undergraduate","Student","Business","18-24","Female","Yes, rarely (<3 hrs per week)","Homework-related use (problems, questions, exercises, etc)","Contributes to plagiarism;The reliability of the information that ChatGPT provides","Sometimes accurate","Yes, in some cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it","I’m not sure","No, it will not happen"
"2023/02/26 2:27:08 AM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","No, never (0 hrs per week)","No","Contributes to plagiarism;ChatGPT’s access to the user’s data and privacy;The reliability of the information that ChatGPT provides","Mostly accurate","Yes, in some cases","Using it for the purpose of writing essays","Neither","I’m not sure"
"2023/02/26 2:30:10 AM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","No, never (0 hrs per week)","No use","The security of ChatGPT","Sometimes accurate","I’m not sure","Generating answers for course homework or test with it","I’m not sure","No, it will not happen"
"2023/02/26 3:20:49 AM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Male","Yes, rarely (<3 hrs per week)","Career-related use (building resumes & cover letters, reaching out to employers)","Contributes to plagiarism;The reliability of the information that ChatGPT provides","Sometimes accurate","Yes, in some cases","Using it for the purpose of writing essays;Generating answers for course homework or test with it;Using it for research-related purposes","I’m not sure","No, it will not happen"
"2023/02/26 12:57:25 PM AST","Undergraduate","Student","Creative Studies and/or Media Studies","18-24","Male","Yes, rarely (<3 hrs per week)","Creativity-related use (brainstorming, art, fiction, etc)","Contributes to plagiarism","Mostly accurate","Yes, in some cases","None of the above","Inhibit education","Yes, in the distant future (>10 years)"
"2023/02/26 1:02:56 PM AST","College Diploma","Student","Business","18-24","Male","Yes, sometimes (3-10 hrs per week)","Homework-related use (problems, questions, exercises, etc)","Contributes to plagiarism","Always accurate","No","Using it for the purpose of writing essays;Generating answers for course homework or test with it","Inhibit education","Yes, in the near future (<10 years)"
"2023/02/26 1:07:02 PM AST","Undergraduate","Student","Liberal Arts/Studies/Education","18-24","Female","Yes, rarely (<3 hrs per week)","used it to create a book for an assignment","Contributes to plagiarism;The reliability of the information that ChatGPT provides","I'm not sure","Yes, in some cases","Using it for the purpose of writing essays","Inhibit education","No, it will not happen"
"2023/02/26 1:15:06 PM AST","Undergraduate","Student","Sciences and/or Engineering and/or Architectural Studies","18-24","Female","No, never (0 hrs per week)","","The security of ChatGPT;The reliability of the information that ChatGPT provides","I'm not sure","I’m not sure","Using it for the purpose of writing essays","Neither","No, it will not happen"
